dates,stationid,sumax,sumay,sumaz,countwx,countwy,countwz,accx,accy,accz,velx,vely,velz,dispx,dispy,dispz,temperature,humidity,pressure,rain,lightavg,lightavgw/o0,lightmax,forces,moisture
09/02/2018,t10,0,0,0,0,0,0,0.77,0.39,0.48,0,0,0,0.0503228475,0.00124035187499999,-0.1212000975,20.86957,99,1013.14855072463,634.5,1628.3551,2844.4684,12538,0.194275,24.4855
09/03/2018,t10,0,0,0,0,0,0,0.77,0.39,0.48,0,0,0,0.0503228475,0.00124035187499999,-0.1212000975,21.6015,99,1013.13233082706,29.25,1689.5714,2844.4684,12538,0.167143,23.9173
09/04/2018,t10,0,0,0,0,0,0,0.77,0.39,0.48,0,0,0,0.0503228475,0.00124035187499999,-0.1212000975,22.55263,99,1013.88070175438,1091.25,1971.1667,2844.4684,12538,0.197368,23.5439
09/05/2018,t10,0,0,0,0,0,0,0.77,0.39,0.48,0,0,0,0.0503228475,0.00124035187499999,-0.1212000975,22.83019,99,1013.08207547169,13.5,6530.9151,11935.8103,54612,0.126321,23.6887
09/06/2018,t10,0,0,0,0,0,0,0.77,0.39,0.48,0,0,0,0.0503228475,0.00124035187499999,-0.1212000975,23.98473,98.89313,1013.17862595419,58.5,2635.4504,5152.8955,54612,0.09229,23.9924
09/07/2018,t10,0,0,0,0,0,0,0.77,0.39,0.48,0,0,0,0.0503228475,0.00124035187499999,-0.1212000975,24.47253,97.46154,1015.73736263736,162,3793.8901,5152.8955,54612,0.131538,24.7363
09/08/2018,t10,0,0,0,0,0,0,0.77,0.39,0.48,0,0,0,0.0503228475,0.00124035187499999,-0.1212000975,22.76336,99,1015.9175572519,4.5,2635.4504,5152.8955,54612,0.113817,24.0534
09/09/2018,t10,0,0,0,0,0,0,0.77,0.39,0.48,0,0,0,0.0503228475,0.00124035187499999,-0.1212000975,23.05674,99,1016.96524822694,0,1824.0142,3384.0263,10515,0.101277,23.2695
09/10/2018,t10,3.22,1.67,1.56,4,4,4,0.805,0.4175,0.39,0.116739,0.0917234999999999,-0.300186,0.0900141075000001,0.032426341875,-0.2232633375,23.71901,98.95868,1017.55950413223,54,2682.1818,4214.8571,15859,0.114463,21.2562
09/11/2018,t10,0,0,0,0,0,0,0.805,0.4175,0.39,0,0,0,0.0900141075000001,0.032426341875,-0.2232633375,23.01724,99,1016.48017241379,157.5,2719.7845,4263.4459,11103,0.173966,22.3879
09/12/2018,t10,0,0,0,0,0,0,0.805,0.4175,0.39,0,0,0,0.0900141075000001,0.032426341875,-0.2232633375,22.29927,97.23358,1013.54452554744,87.75,2302.8832,4263.4459,11103,0.10219,22.0438
09/13/2018,t10,0,0,0,0,0,0,0.805,0.4175,0.39,0,0,0,0.0900141075000001,0.032426341875,-0.2232633375,21.42857,99,1013.33277310924,366.75,2651.2185,4263.4459,11103,0.143613,22.6975
09/14/2018,t10,0,0,0,0,0,0,0.805,0.4175,0.39,0,0,0,0.0900141075000001,0.032426341875,-0.2232633375,20.84211,98.14286,1015.97293233082,382.5,2372.1429,4263.4459,11103,0.142782,21.8722
09/15/2018,t10,0,0,0,0,0,0,0.805,0.4175,0.39,0,0,0,0.0900141075000001,0.032426341875,-0.2232633375,20.42857,99,1017.76142857142,0,2253.5357,4263.4459,11103,0.197714,20.2214
09/16/2018,t10,0,0,0,0,0,0,0.805,0.4175,0.39,0,0,0,0.0900141075000001,0.032426341875,-0.2232633375,22.45985,90.43796,1016.44306569343,0,2302.8832,4263.4459,11103,0.192628,18.708
09/17/2018,t10,0,0,0,0,0,0,0.805,0.4175,0.39,0,0,0,0.0900141075000001,0.032426341875,-0.2232633375,21.9021,90.54545,1015.40559440559,0,2206.2587,4263.4459,11103,0.22007,16.3497
09/18/2018,t10,0,0,0,0,0,0,0.805,0.4175,0.39,0,0,0,0.0900141075000001,0.032426341875,-0.2232633375,21.87857,91.54286,1015.53571428571,0,2253.5357,4263.4459,11103,0.257286,14.9643
09/19/2018,t10,0,0,0,0,0,0,0.805,0.4175,0.39,0,0,0,0.0900141075000001,0.032426341875,-0.2232633375,22.77372,88.33577,1015.67883211678,0,2302.8832,4263.4459,11103,0.285109,13.927
09/20/2018,t10,0,0,0,0,0,0,0.805,0.4175,0.39,0,0,0,0.0900141075000001,0.032426341875,-0.2232633375,23.32857,85.64286,1016.66,0,2253.5357,4263.4459,11103,0.369143,12.5357
09/21/2018,t10,0.77,0.39,0.45,1,1,1,0.77,0.39,0.45,-0.02918475,-0.022930875,0.050031,0.08753340375,0.0304772175,-0.2190107025,21.64286,99,1019.51928571428,589.5,2253.5357,4263.4459,11103,0.430071,11.7714
09/22/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,17.65385,99,1020.48461538461,207,0,0,4000,0.121154,2.6154
09/23/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,17.34,99,1018.4,281.25,1273.08,3536.3333,54612,0.1036,6.64
09/24/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,15.96992,99,1016.93759398496,1215,2372.1429,4263.4459,11103,0.109925,6.8647
09/25/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,20.80741,95.76296,1017.05777777777,2.25,2337,4263.4459,11103,0.106593,1.3926
09/26/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,22.37857,90.69286,1016.63428571428,0,2253.5357,4263.4459,11103,0.188929,1.1929
09/27/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,21.76471,94.65441,1017.82867647058,0,17184.9559,33387.9143,54612,0.197574,1.0368
09/28/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,19.97872,98.93617,1018.87021276595,0,1721.8156,4414.1091,54612,0.181489,1
09/29/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,21.92701,89.9635,1019.93868613138,0,2340.8467,4516.8451,11700,0.169124,0.9927
09/30/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,21.86765,88.70588,1018.62058823529,0,2400.5662,4598.2676,10660,0.173824,0.6103
10/01/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,21.7234,84.13475,1018.66808510638,0,2253.9787,4414.0417,11161,0.15539,0.2553
10/02/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,21.58993,81.10072,1019.78992805755,0,3089.4892,5882.726,54612,0.141583,0.1079
10/03/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,21.41135,80.76596,1019.05815602836,0,2191.2766,4351.6901,13652,0.142908,0.0496
10/04/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,20.15603,80.41844,1020.6914893617,74.25,2191.2766,4351.6901,13652,0.091277,3.3901
10/05/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,20.05072,76.53623,1021.80797101449,0,1929.029,3697.3056,8477,0.095725,10.3116
10/06/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,20.38129,70.5036,1020.62877697841,0,2222.8058,4351.6901,13652,0.124964,9.5324
10/07/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,19.84173,76.4964,1019.92877697841,0,3452.3237,6855.3286,54612,0.053094,8.9928
10/08/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,20.05882,78.66912,1018.49705882352,0,3528.4779,6855.3286,54612,0.003456,6.6176
10/09/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,20.26812,72.2029,1018.7036231884,0,3477.3406,6855.3286,54612,0.005652,0
10/10/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,20.77857,67.38571,1018.99428571428,24.75,3427.6643,6855.3286,54612,0.0265,0.0929
10/11/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,17.71223,87.72662,1020.02949640287,315,3452.3237,6855.3286,54612,0.082518,0.295
10/12/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,18.55714,82.97857,1021.25928571428,0,3427.6643,6855.3286,54612,0.000071,0.3571
10/13/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,18.43662,82.66197,1020.98028169014,0,3379.3873,6855.3286,54612,0,0.007
10/14/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,18.40714,82.82857,1019.99714285714,0,3427.6643,6855.3286,54612,0,0.0071
10/15/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,18.36879,80.40426,1020.74609929077,0,3403.3546,6855.3286,54612,0,0.0213
10/16/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,18.99275,66.24638,1021.2,0,3477.3406,6855.3286,54612,0,0.0145
10/17/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,19.68613,50.19708,1019.98540145985,0,3502.7226,6855.3286,54612,0,0.0073
10/18/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,19.69286,53.86429,1019.66357142857,0,3427.6643,6855.3286,54612,0,0.0071
10/19/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,19.29078,50.82979,1020.82624113475,0,3403.3546,6855.3286,54612,0,0.0071
10/20/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,18.57971,56.76087,1022.74130434782,0,3477.3406,6855.3286,54612,0,0.0145
10/21/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,17.94245,69.70504,1023.08561151079,0,3452.3237,6855.3286,54612,0,0.0288
10/22/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,17.59712,62.07914,1021.23884892086,0,3452.3237,6855.3286,54612,0,0
10/23/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,17.73571,57.10714,1021.15857142857,0,9547.6143,19950.2388,54612,0,0.0071
10/24/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,16.46923,60.64615,1021.59923076923,0,11752.2692,26803.4211,54612,0,0.0154
10/25/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,17.33094,65.41727,1022.845323741,0,4596.1871,11408.3929,54612,0,0.0216
10/26/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,17.74101,67.42446,1024.59352517985,0,2780.0216,6779.3509,54612,0,0
10/27/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,17.48227,72.75177,1024.77375886524,0,2164.4326,4422.971,13652,0,0.0071
10/28/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,18.35714,72.72857,1024.46214285714,0,2104.7357,4209.4714,8582,0,0.0071
10/29/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,18.2695,76.35461,1023.58936170212,0,2033.7518,4217.0441,8616,0,0
10/30/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,18,84.66429,1023.25928571428,0,2048.2786,4217.0441,8616,0.003286,0
10/31/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,18.97015,78.98507,1024.43507462686,0,2029.6866,4386.7419,8060,0.005746,0
11/01/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,17.03101,94.0155,1023.06046511627,0,1451.8605,3020.8065,6569,0.000233,0.0078
11/02/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,14.69369,90.10811,1022.22612612612,0,1006.1171,1718.1385,7842,0.042072,2.8108
11/06/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,13.97872,89.46809,1020.31276595744,0,281.5957,827.1875,4000,0.075319,0.3191
11/07/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,15.8626,77.55725,1020.82061068702,0,1429.6947,3020.8065,6569,0.052748,0.4275
11/08/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,14.70079,82.61417,1021.88582677165,0,1474.7244,3020.8065,6569,0.045984,0.3701
11/09/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,15.41085,81.10078,1020.05116279069,0,1451.8605,3020.8065,6569,0.023876,0.0078
11/10/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,15.49612,83.48062,1020.84031007751,0,1451.8605,3020.8065,6569,0,0.0465
11/11/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,14.36585,83.86179,1021.83008130081,0,1522.6829,3020.8065,6569,0,0
11/12/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,16.03676,66.22794,1020.30661764705,0,1377.1324,3020.8065,6569,0,3.0147
11/13/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,13.28689,85.56557,1017.99836065573,0,1535.1639,3020.8065,6569,0.008279,3.5984
11/17/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,14.20635,88.1746,1017.20634920634,0,305.254,1282.0667,4000,0.007302,0.0476
11/18/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,15.1875,79.20139,1019.64791666666,0,1300.625,3020.8065,6569,0.011111,0.3403
11/19/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,16.27972,76.74126,1022.95874125874,0,1309.7203,3020.8065,6569,0.00028,0.007
11/20/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,15.46479,80.73944,1023.15211267605,0,1318.9437,3020.8065,6569,0.00838,0.2958
11/21/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,15.41791,80.20149,1022.41492537313,0,1397.6866,3020.8065,6569,0.006269,0.3284
11/22/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,14.34752,86.14184,1023.09503546099,0,1328.2979,3020.8065,6569,0.006738,0.1135
11/23/2018,t10,0,0,0,0,0,0,0.77,0.39,0.45,0,0,0,0.08753340375,0.0304772175,-0.2190107025,14.60839,82.06993,1024.95664335664,0,1309.7203,3020.8065,6569,0.008531,0.014
